canonical_metabolite,item_type,therapeutic_group,disease_or_use_area,mild_to_heavy_class,extreme_or_special_caution,notes
4'-Hydroxyfenoprofen glucuronide,Metabolite / degradation or conjugated form,Pain / inflammation / dermatology / local procedural,"NSAID-related, inflammation, skin, muscle, local anesthesia, or procedural",Analytical/metabolite — severity depends on parent drug,No,Likely listed as metabolite/exposure marker rather than something directly prescribed.
4-Hydroxyketamine,Metabolite / degradation or conjugated form,CNS / pain / anesthesia / psychiatric,"Neurology, pain, sedation, psychiatry, movement disorders, or dependence-related",Analytical/metabolite — severity depends on parent drug,No,Likely listed as metabolite/exposure marker rather than something directly prescribed.
4-hydroxyvalproic acid,Metabolite / degradation or conjugated form,CNS / pain / anesthesia / psychiatric,"Neurology, pain, sedation, psychiatry, movement disorders, or dependence-related",Analytical/metabolite — severity depends on parent drug,No,Likely listed as metabolite/exposure marker rather than something directly prescribed.
4-Methylpropranolol,Parent drug / active compound,Other / niche / research / unclear from name,"Niche, rare, research, analytical, or mixed/uncertain use",Mild-to-moderate / context-dependent,No,"Practical classification; verify exact indication, country status, and formulation."
4R-Hydroxy solifenacin,Metabolite / degradation or conjugated form,GI / GU / ophthalmic / other organ systems,"Gastrointestinal, urinary, eye, bladder, or miscellaneous organ-system use",Analytical/metabolite — severity depends on parent drug,No,Likely listed as metabolite/exposure marker rather than something directly prescribed.
5'-Hydroxylornoxicam,Metabolite / degradation or conjugated form,Pain / inflammation / dermatology / local procedural,"NSAID-related, inflammation, skin, muscle, local anesthesia, or procedural",Analytical/metabolite — severity depends on parent drug,No,Likely listed as metabolite/exposure marker rather than something directly prescribed.
5-hydroxy saxagliptin,Metabolite / degradation or conjugated form,Metabolic / endocrine / gout / nutrition,"Diabetes, gout, thyroid, or vitamin/metabolic use",Analytical/metabolite — severity depends on parent drug,No,Likely listed as metabolite/exposure marker rather than something directly prescribed.
6-Hydroxynorketamine,Metabolite / degradation or conjugated form,Other / niche / research / unclear from name,"Niche, rare, research, analytical, or mixed/uncertain use",Analytical/metabolite — severity depends on parent drug,No,Likely listed as metabolite/exposure marker rather than something directly prescribed.
Acedapsone,Parent drug / active compound,Anti-infective,Bacterial/viral/fungal/TB/parasitic infection,Moderate / needs supervision or monitoring,No,"Anti-infective; pathogen, resistance, and organ-function context matter."
Acetohexamide,Parent drug / active compound,Metabolic / endocrine / gout / nutrition,"Diabetes, gout, thyroid, or vitamin/metabolic use",Mild-to-moderate / context-dependent,No,"Practical classification; verify exact indication, country status, and formulation."
Acetyl-DL-Leucine,Metabolite / degradation or conjugated form,Pain / inflammation / dermatology / local procedural,"NSAID-related, inflammation, skin, muscle, local anesthesia, or procedural",Analytical/metabolite — severity depends on parent drug,No,Likely listed as metabolite/exposure marker rather than something directly prescribed.
Acetyl-sulfamethoxazole,Metabolite / degradation or conjugated form,Anti-infective,Bacterial/viral/fungal/TB/parasitic infection,Analytical/metabolite — severity depends on parent drug,No,Likely listed as metabolite/exposure marker rather than something directly prescribed.
Acetylcysteine,Metabolite / degradation or conjugated form,Pain / inflammation / dermatology / local procedural,"NSAID-related, inflammation, skin, muscle, local anesthesia, or procedural",Mild / common-use or lower-intensity,No,Likely listed as metabolite/exposure marker rather than something directly prescribed.
Acetylstrophanthidin,Metabolite / degradation or conjugated form,Cardiovascular / hematology,"Blood pressure, heart rhythm, lipids, clotting, or vascular use",Analytical/metabolite — severity depends on parent drug,No,Likely listed as metabolite/exposure marker rather than something directly prescribed.
Actarit,Parent drug / active compound,Pain / inflammation / dermatology / local procedural,"NSAID-related, inflammation, skin, muscle, local anesthesia, or procedural",Mild-to-moderate / context-dependent,No,"Practical classification; verify exact indication, country status, and formulation."
Allopurinol,Parent drug / active compound,Metabolic / endocrine / gout / nutrition,"Diabetes, gout, thyroid, or vitamin/metabolic use",Mild / common-use or lower-intensity,No,"Practical classification; verify exact indication, country status, and formulation."
Allylestrenol,Parent drug / active compound,Steroid / hormone / reproductive,"Inflammation, endocrine, reproductive, prostaglandin, or androgen/estrogen-related",Moderate / needs supervision or monitoring,No,Steroid/hormonal/prostaglandin-related; dose and indication strongly affect risk.
Alpha-Hydroxymetoprolol,Metabolite / degradation or conjugated form,Cardiovascular / hematology,"Blood pressure, heart rhythm, lipids, clotting, or vascular use",Analytical/metabolite — severity depends on parent drug,No,Likely listed as metabolite/exposure marker rather than something directly prescribed.
Amantadine,Parent drug / active compound,CNS / pain / anesthesia / psychiatric,"Neurology, pain, sedation, psychiatry, movement disorders, or dependence-related",Mild-to-moderate / context-dependent,No,"Practical classification; verify exact indication, country status, and formulation."
Amodiaquine,Parent drug / active compound,Anti-infective,Bacterial/viral/fungal/TB/parasitic infection,Moderate / needs supervision or monitoring,No,"Anti-infective; pathogen, resistance, and organ-function context matter."
Amotosalen,Parent drug / active compound,Oncology / cellular therapy support,"Cancer, photopheresis/psoralen, cytotoxic, targeted or specialist cellular-therapy context",Heavy / high-risk or specialist,No,"Practical classification; verify exact indication, country status, and formulation."
Anisomycin,Parent drug / active compound,Oncology / cellular therapy support,"Cancer, photopheresis/psoralen, cytotoxic, targeted or specialist cellular-therapy context",Heavy / high-risk or specialist,No,"Practical classification; verify exact indication, country status, and formulation."
Anthralin,Parent drug / active compound,Pain / inflammation / dermatology / local procedural,"NSAID-related, inflammation, skin, muscle, local anesthesia, or procedural",Mild-to-moderate / context-dependent,No,"Practical classification; verify exact indication, country status, and formulation."
Antibiotic GR 95647X,Parent drug / active compound,Anti-infective,Bacterial/viral/fungal/TB/parasitic infection,Moderate / needs supervision or monitoring,No,"Anti-infective; pathogen, resistance, and organ-function context matter."
Astromicin,Parent drug / active compound,Anti-infective,Bacterial/viral/fungal/TB/parasitic infection,Moderate / needs supervision or monitoring,No,"Anti-infective; pathogen, resistance, and organ-function context matter."
Atenolol,Parent drug / active compound,Cardiovascular / hematology,"Blood pressure, heart rhythm, lipids, clotting, or vascular use",Mild / common-use or lower-intensity,No,Cardiovascular/hematology class; monitoring may be needed depending on subtype.
Avapritinib,Parent drug / active compound,Oncology / cellular therapy support,"Cancer, photopheresis/psoralen, cytotoxic, targeted or specialist cellular-therapy context",Heavy / high-risk or specialist,Yes,Targeted oncology drug; specialist use.
Azvudine,"Drug, prodrug, ester, or salt/formulation",Anti-infective,Bacterial/viral/fungal/TB/parasitic infection,Moderate / needs supervision or monitoring,No,"Anti-infective; pathogen, resistance, and organ-function context matter."
Benazeprilat,"Drug, prodrug, ester, or salt/formulation",Cardiovascular / hematology,"Blood pressure, heart rhythm, lipids, clotting, or vascular use",Moderate / needs supervision or monitoring,No,Cardiovascular/hematology class; monitoring may be needed depending on subtype.
Benznidazole,Parent drug / active compound,Anti-infective,Bacterial/viral/fungal/TB/parasitic infection,Moderate / needs supervision or monitoring,No,"Anti-infective; pathogen, resistance, and organ-function context matter."
Betamethasone 17 Valerate,"Drug, prodrug, ester, or salt/formulation",Steroid / hormone / reproductive,"Inflammation, endocrine, reproductive, prostaglandin, or androgen/estrogen-related",Moderate / needs supervision or monitoring,No,Steroid/hormonal/prostaglandin-related; dose and indication strongly affect risk.
Betaxolol,Parent drug / active compound,Cardiovascular / hematology,"Blood pressure, heart rhythm, lipids, clotting, or vascular use",Moderate / needs supervision or monitoring,No,Cardiovascular/hematology class; monitoring may be needed depending on subtype.
Bethanechol,Parent drug / active compound,GI / GU / ophthalmic / other organ systems,"Gastrointestinal, urinary, eye, bladder, or miscellaneous organ-system use",Mild-to-moderate / context-dependent,No,"Practical classification; verify exact indication, country status, and formulation."
Bethanidine,Parent drug / active compound,Cardiovascular / hematology,"Blood pressure, heart rhythm, lipids, clotting, or vascular use",Moderate / needs supervision or monitoring,No,Cardiovascular/hematology class; monitoring may be needed depending on subtype.
Bifonazole,Parent drug / active compound,Anti-infective,Bacterial/viral/fungal/TB/parasitic infection,Moderate / needs supervision or monitoring,No,"Anti-infective; pathogen, resistance, and organ-function context matter."
